StateName,Ayurveda,Unani,Siddha,Homoeopathy,TotalPopulation,TotalPopulationUrban,TotalPopulationRural,LandArea,LandAreaUrban,LandAreaRural,NumberOfHouseholds,Total_AYUSH,AYUSH_per_lakh_population
andaman and nicobar islands,0.0,0.0,0.0,0.0,380581,143488,237093,85332.541875,3799.37,81533.17,94551,0.0,0.0
andhra pradesh,298.0,16.0,0.0,12.0,49577103,14610410,34966693,13436132.0,411934.0,13024198.0,12718976,326.0,0.6575616167003546
assam,42.0,0.0,0.0,2.0,31205576,4398542,26807034,5208885.0,125988.0,5082897.0,6406471,44.0,0.1410004417159292
bihar,216.0,22.0,0.0,48.0,104099452,11758016,92341436,9299048.0,232472.0,9066576.0,18913565,286.0,0.27473727719527286
chandigarh,2.0,0.0,0.0,0.0,1055450,1026459,28991,11400.0,10953.0,447.0,241173,2.0,0.18949263347387368
chhattisgarh,30.0,0.0,0.0,0.0,25545198,5937237,19607961,9667276.0,324772.0,9342504.0,5650724,30.0,0.11743890182413148
delhi,93.0,32.0,0.0,0.0,16787941,16368899,419042,151027.09765625,115407.0,35620.098,3435999,125.0,0.7445820782906015
goa,11.0,0.0,0.0,0.0,1458545,906814,551731,370204.0625,77854.0,292350.06,343611,11.0,0.7541762509898563
gujarat,797.0,0.0,0.0,0.0,60443083,25748474,34694609,15690557.0,733163.0,14957394.0,12249135,797.0,1.31859587638837
haryana,447.0,0.0,0.0,0.0,25351462,8842103,16509359,4393243.0,197608.0,4195635.0,4857524,447.0,1.763211920480168
himachal pradesh,154.0,0.0,0.0,7.0,6864602,688552,6176050,4577827.0,27130.0,4550697.0,1483280,161.0,2.345365397731726
jammu and kashmir,15.650029760784536,3.9125074401961344,0.0,1.9562537200980672,12265703,3371233,8894470,2335311.25,121337.0,2213974.2,2079191,21.51879092107874,0.17543870841384906
jharkhand,29.0,0.0,0.0,5.0,32988134,7933061,25055073,7686101.65,225145.15000000005,7460956.5,6254781,34.0,0.10306736355563488
karnataka,226.0,0.0,0.0,0.0,61095297,23625962,37469335,19140967.34,599199.34,18541768.0,13357027,226.0,0.3699139067938404
kerala,746.0,4.0,3.0,0.0,33406061,15934926,17471135,3886116.0,759880.0,3126236.0,7853754,753.0,2.2540819763216025
ladakh,0.3499702392154636,0.0874925598038659,0.0,0.0437462799019329,274289,62009,212280,58265.32421875,2615.0,55650.324,40247,0.4812090789212624,0.17543870841384904
lakshadweep,0.0,0.0,0.0,0.0,64473,50332,14141,2908.2801513671875,2137.0,771.28015,11574,0.0,0.0
madhya pradesh,679.0,3.0,0.0,17.0,72641665,20084261,52557404,26262261.0,774641.0,25487620.0,15095856,699.0,0.9622576795286837
maharashtra,782.0,13.0,0.0,39.0,112374333,50818259,61556074,29806190.0,912066.0,28894124.0,24421519,834.0,0.7421623583741316
manipur,0.0,0.0,0.0,0.0,2855794,834154,2021640,193766.359375,18024.0,175742.36,557859,0.0,0.0
odisha,91.0,0.0,0.0,0.0,41980846,7010284,34970562,13870884.4,2297094.4,11573790.0,9639296,91.0,0.21676552206689687
puducherry,41.0,0.0,9.0,5.0,1247953,852753,395200,49279.78515625,15456.0,33823.785,302450,55.0,4.4072172589833105
punjab,352.0,0.0,0.0,0.0,27743338,10399146,17344192,5041349.0,251460.0,4789889.0,5513071,352.0,1.2687730654472795
rajasthan,315.0,2.0,0.0,0.0,68548437,17048085,51500352,33792237.0,665817.0,33126420.0,12711146,317.0,0.4624467221623157
sikkim,2.0,0.0,0.0,0.0,610577,153578,456999,653697.225,3824.1,649873.1,129006,2.0,0.3275590138508329
tamil nadu,140.0,8.0,165.0,0.0,72147030,34917440,37229590,12870711.5,1363555.5,11507156.0,18524982,313.0,0.4338362923601984
telangana,640.0,462.0,0.0,60.0,35003674,13608665,21395009,10388260.0,373524.0,10014736.0,8303612,1162.0,3.319651531436386
the dadra and nagar haveli and daman and diu,14.0,0.0,0.0,0.0,586956,343446,243510,58579.62890625,9422.0,49157.63,137414,14.0,2.3851873053516788
the dadra and nagar haveli and daman and diu,14.0,0.0,0.0,0.0,586956,343446,243510,58579.62890625,9422.0,49157.63,137414,14.0,2.3851873053516788
tripura,0.0,0.0,0.0,1.0,3673917,961453,2712464,1039494.625,39184.0,1000310.6,855556,1.0,0.027218905598575035
uttar pradesh,1509.0,290.0,0.0,36.0,199812341,44495063,155317278,23961486.507,780110.5069999999,23181376.0,33448035,1835.0,0.9183616941858461
uttarakhand,352.0,0.0,0.0,0.0,10086292,3049338,7036954,3453864.75,90193.0,3363671.8,2056975,352.0,3.4898850836362856
west bengal,213.0,5.0,0.0,0.0,91276115,29093002,62183113,8332773.9535491,511322.9535491,7821451.0,20380315,218.0,0.23883575675849042
